path,"router_name","hop_index","route_changed","unique_routes",customIcon,description,latitude,longitude,markerPriority,markerSize,pathColor,pathWeight,router,tooltip
"cnc_vlan1001","R9-NCS540",0,NO,1,"router3.png","Tx<br>Rx","31.5968","130.5571",1,70,green,3,R9,""
"cnc_vlan1001","R8-NCS540",1,NO,1,"router3.png","Tx<br>Rx","32.7495","129.8796",1,70,green,3,R8,""
"cnc_vlan1001","R6-NCS560",2,NO,1,"router3.png","Tx<br>Rx","33.8834","130.8751",1,70,green,3,R6,""
"cnc_vlan1001","R4-NCS55A2",3,NO,1,"router3.png","Tx<br>Rx","35.4681","133.0485",1,70,green,3,R4,""
"cnc_vlan1001","R2-NCS5504",4,NO,1,"router3.png","Tx<br>Rx","35.4943","134.2216",1,70,green,3,R2,""
"cnc_vlan1002","R9-NCS540",0,YES,2,"router3.png","Tx<br>Rx","31.5968","130.5571",2,70,red,3,R9,""
"cnc_vlan1002","R7-NCS560",1,YES,2,"router3.png","Tx<br>Rx","32.5822","131.6648",2,70,red,3,R7,""
"cnc_vlan1002","R5-NCS55A2",2,YES,2,"router3.png","Tx<br>Rx","33.5588","133.5312",2,70,red,3,R5,""
"cnc_vlan1002","R3-NCS5504",3,YES,2,"router3.png","Tx<br>Rx","34.4397","134.9149",2,70,red,3,R3,""
"cnc_vlan1002","R2-NCS5504",4,YES,2,"router3.png","Tx<br>Rx","35.4943","134.2216",2,70,red,3,R2,""
"cnc_vlan1003","R9-NCS540",0,YES,2,"router3.png","Tx<br>Rx","31.5968","130.5571",2,70,red,3,R9,""
"cnc_vlan1003","R7-NCS560",1,YES,2,"router3.png","Tx<br>Rx","32.5822","131.6648",2,70,red,3,R7,""
"cnc_vlan1003","R5-NCS55A2",2,YES,2,"router3.png","Tx<br>Rx","33.5588","133.5312",2,70,red,3,R5,""
"cnc_vlan1003","R3-NCS5504",3,YES,2,"router3.png","Tx<br>Rx","34.4397","134.9149",2,70,red,3,R3,""
"cnc_vlan1003","R2-NCS5504",4,YES,2,"router3.png","Tx<br>Rx","35.4943","134.2216",2,70,red,3,R2,""
"cnc_vlan1004","R9-NCS540",0,NO,1,"router3.png","Tx<br>Rx","31.5968","130.5571",1,70,green,3,R9,""
"cnc_vlan1004","R7-NCS560",1,NO,1,"router3.png","Tx<br>Rx","32.5822","131.6648",1,70,green,3,R7,""
"cnc_vlan1004","R6-NCS560",2,NO,1,"router3.png","Tx<br>Rx","33.8834","130.8751",1,70,green,3,R6,""
"cnc_vlan1004","R4-NCS55A2",3,NO,1,"router3.png","Tx<br>Rx","35.4681","133.0485",1,70,green,3,R4,""
"cnc_vlan1004","R2-NCS5504",4,NO,1,"router3.png","Tx<br>Rx","35.4943","134.2216",1,70,green,3,R2,""
"R2-NCS5504","R2-NCS5504",,,,"router3.png",,"35.4943","134.2216",3,70,,,R2,R2
"R3-NCS5504","R3-NCS5504",,,,"router3.png",,"34.4397","134.9149",3,70,,,R3,R3
"R4-NCS55A2","R4-NCS55A2",,,,"router3.png",,"35.4681","133.0485",3,70,,,R4,R4
"R5-NCS55A2","R5-NCS55A2",,,,"router3.png",,"33.5588","133.5312",3,70,,,R5,R5
"R6-NCS560","R6-NCS560",,,,"router3.png",,"33.8834","130.8751",3,70,,,R6,R6
"R7-NCS560","R7-NCS560",,,,"router3.png",,"32.5822","131.6648",3,70,,,R7,R7
"R8-NCS540","R8-NCS540",,,,"router3.png",,"32.7495","129.8796",3,70,,,R8,R8
"R9-NCS540","R9-NCS540",,,,"router3.png",,"31.5968","130.5571",3,70,,,R9,R9
