hod,"avg(dl_cksum)","avg(dl_dStdDev)","avg(dl_dmax)","avg(dl_dmean)","avg(dl_dmin)","avg(dl_dp25)","avg(dl_dp50)","avg(dl_dp75)","avg(dl_dp95)","avg(dl_dpHi)","avg(dl_dpLo)","avg(dl_dpMi)","avg(dl_duplicatepkts)","avg(dl_dvmax)","avg(dl_dvmean)","avg(dl_dvp25)","avg(dl_dvp50)","avg(dl_dvp75)","avg(dl_dvp95)","avg(dl_dvpHi)","avg(dl_dvpLo)","avg(dl_dvpMi)","avg(dl_firstpktSeq)","avg(dl_jStdDev)","avg(dl_jmax)","avg(dl_jmean)","avg(dl_jmin)","avg(dl_jp25)","avg(dl_jp50)","avg(dl_jp75)","avg(dl_jp95)","avg(dl_jpHi)","avg(dl_jpLo)","avg(dl_jpMi)","avg(dl_lastpktSeq)","avg(dl_lostburstmax)","avg(dl_lostburstmin)","avg(dl_lostperc)","avg(dl_lostperiods)","avg(dl_lostpkts)","avg(dl_misorderpkts)","avg(dl_mos)","avg(dl_r)","avg(dl_rxbytes)","avg(dl_rxpkts)","avg(dl_statStatus)","avg(dl_toolatepkts)","avg(dl_tosmax)","avg(dl_tosmin)","avg(dl_ttlmax)","avg(dl_ttlmin)","avg(dl_vpriomax)","avg(dl_vpriomin)","min(dl_cksum)","min(dl_dStdDev)","min(dl_dmax)","min(dl_dmean)","min(dl_dmin)","min(dl_dp25)","min(dl_dp50)","min(dl_dp75)","min(dl_dp95)","min(dl_dpHi)","min(dl_dpLo)","min(dl_dpMi)","min(dl_duplicatepkts)","min(dl_dvmax)","min(dl_dvmean)","min(dl_dvp25)","min(dl_dvp50)","min(dl_dvp75)","min(dl_dvp95)","min(dl_dvpHi)","min(dl_dvpLo)","min(dl_dvpMi)","min(dl_firstpktSeq)","min(dl_jStdDev)","min(dl_jmax)","min(dl_jmean)","min(dl_jmin)","min(dl_jp25)","min(dl_jp50)","min(dl_jp75)","min(dl_jp95)","min(dl_jpHi)","min(dl_jpLo)","min(dl_jpMi)","min(dl_lastpktSeq)","min(dl_lostburstmax)","min(dl_lostburstmin)","min(dl_lostperc)","min(dl_lostperiods)","min(dl_lostpkts)","min(dl_misorderpkts)","min(dl_mos)","min(dl_r)","min(dl_rxbytes)","min(dl_rxpkts)","min(dl_statStatus)","min(dl_toolatepkts)","min(dl_tosmax)","min(dl_tosmin)","min(dl_ttlmax)","min(dl_ttlmin)","min(dl_vpriomax)","min(dl_vpriomin)","max(dl_cksum)","max(dl_dStdDev)","max(dl_dmax)","max(dl_dmean)","max(dl_dmin)","max(dl_dp25)","max(dl_dp50)","max(dl_dp75)","max(dl_dp95)","max(dl_dpHi)","max(dl_dpLo)","max(dl_dpMi)","max(dl_duplicatepkts)","max(dl_dvmax)","max(dl_dvmean)","max(dl_dvp25)","max(dl_dvp50)","max(dl_dvp75)","max(dl_dvp95)","max(dl_dvpHi)","max(dl_dvpLo)","max(dl_dvpMi)","max(dl_firstpktSeq)","max(dl_jStdDev)","max(dl_jmax)","max(dl_jmean)","max(dl_jmin)","max(dl_jp25)","max(dl_jp50)","max(dl_jp75)","max(dl_jp95)","max(dl_jpHi)","max(dl_jpLo)","max(dl_jpMi)","max(dl_lastpktSeq)","max(dl_lostburstmax)","max(dl_lostburstmin)","max(dl_lostperc)","max(dl_lostperiods)","max(dl_lostpkts)","max(dl_misorderpkts)","max(dl_mos)","max(dl_r)","max(dl_rxbytes)","max(dl_rxpkts)","max(dl_statStatus)","max(dl_toolatepkts)","max(dl_tosmax)","max(dl_tosmin)","max(dl_ttlmax)","max(dl_ttlmin)","max(dl_vpriomax)","max(dl_vpriomin)"
"0.00","0.00","0.00","25.02","22.35","21.98","22.38","22.86","23.24","24.05","24.42","24.09","24.24","0.00","3.05","0.38","0.40","0.88","1.26","2.08","2.44","2.11","2.26","350871797.00","0.00","2.95","0.00","0.00","0.00","0.99","1.00","2.00","2.08","2.00","2.00","350872733.37","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","511805.45","937.37","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","24.00","22.00","21.00","22.00","22.00","23.00","23.00","24.00","23.00","24.00","0.00","2.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","326470562.00","0.00","2.00","0.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","326471471.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","466830.00","855.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","26.00","23.00","23.00","23.00","24.00","24.00","25.00","25.00","25.00","25.00","0.00","4.00","1.00","1.00","2.00","2.00","3.00","3.00","3.00","3.00","375287462.00","0.00","4.00","0.00","0.00","0.00","1.00","1.00","2.00","3.00","2.00","3.00","375288405.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","545454.00","999.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"1.00","0.00","0.00","25.04","22.41","22.00","22.43","22.88","23.28","24.05","24.47","24.09","24.28","0.00","3.04","0.41","0.43","0.88","1.28","2.04","2.47","2.09","2.28","351209417.12","0.00","2.96","0.00","0.00","0.00","1.00","1.00","2.00","2.06","2.00","2.00","351210354.56","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","512386.77","938.44","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","24.00","22.00","21.00","22.00","22.00","22.00","23.00","24.00","23.00","23.00","0.00","2.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","326805599.00","0.00","2.00","0.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","326806467.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","466284.00","854.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","27.00","23.00","23.00","23.00","24.00","24.00","25.00","25.00","25.00","25.00","0.00","5.00","1.00","1.00","2.00","2.00","3.00","3.00","3.00","3.00","375626907.00","0.00","4.00","0.00","0.00","0.00","1.00","1.00","2.00","3.00","2.00","3.00","375627891.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","540540.00","990.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"2.00","0.00","0.00","25.02","22.39","21.98","22.41","22.87","23.28","24.05","24.45","24.10","24.28","0.00","3.04","0.42","0.43","0.89","1.30","2.07","2.47","2.12","2.30","351546523.30","0.00","2.94","0.00","0.00","0.00","0.99","1.00","2.00","2.04","2.00","2.00","351547458.21","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","511008.55","935.91","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","24.00","22.00","21.00","22.00","22.00","23.00","23.00","24.00","23.00","24.00","0.00","2.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","327140853.00","0.00","2.00","0.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","327141774.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","471198.00","863.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","26.00","23.00","23.00","23.00","23.00","24.00","25.00","25.00","25.00","25.00","0.00","4.00","1.00","1.00","1.00","2.00","3.00","3.00","3.00","3.00","375963148.00","0.00","4.00","0.00","0.00","0.00","1.00","1.00","2.00","3.00","2.00","2.00","375964101.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","540540.00","990.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"3.00","0.00","0.00","25.01","22.40","21.98","22.43","22.91","23.25","24.01","24.47","24.04","24.24","0.00","3.03","0.43","0.45","0.94","1.27","2.03","2.49","2.06","2.26","351883622.20","0.00","2.97","0.00","0.00","0.00","1.00","1.00","2.00","2.07","2.00","2.00","351884556.52","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","510683.55","935.32","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","24.00","22.00","21.00","22.00","22.00","23.00","23.00","24.00","23.00","24.00","0.00","2.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","327481021.00","0.00","2.00","0.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","327481944.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","457548.00","838.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","26.00","23.00","23.00","23.00","23.00","24.00","25.00","25.00","25.00","25.00","0.00","4.00","1.00","1.00","2.00","2.00","3.00","3.00","3.00","3.00","376299485.00","0.00","4.00","0.00","0.00","0.00","1.00","1.00","2.00","3.00","2.00","2.00","376300466.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","540540.00","990.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"4.00","0.00","0.00","25.02","22.38","21.99","22.40","22.88","23.26","24.04","24.45","24.08","24.25","0.00","3.03","0.40","0.42","0.89","1.27","2.06","2.47","2.09","2.26","352221082.79","0.00","2.95","0.00","0.00","0.00","0.99","1.00","2.00","2.06","2.00","2.00","352222021.06","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","512843.50","939.27","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","24.00","22.00","21.00","22.00","22.00","23.00","23.00","24.00","23.00","24.00","0.00","2.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","327816221.00","0.00","2.00","0.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","327817132.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","463554.00","849.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","26.00","23.00","23.00","23.00","24.00","24.00","25.00","25.00","25.00","25.00","0.00","4.00","1.00","1.00","1.00","2.00","3.00","3.00","3.00","3.00","376638204.00","0.00","4.00","0.00","0.00","0.00","1.00","1.00","2.00","3.00","2.00","2.00","376639117.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","540540.00","990.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"5.00","0.00","0.00","25.03","22.46","21.99","22.47","22.89","23.34","24.04","24.50","24.10","24.32","0.00","3.04","0.47","0.48","0.90","1.35","2.05","2.51","2.12","2.34","352557662.38","0.00","2.95","0.00","0.00","0.00","0.99","1.00","2.00","2.06","2.00","2.00","352558593.54","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","508959.32","932.16","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","24.00","22.00","21.00","22.00","22.00","22.00","23.00","24.00","23.00","23.00","0.00","2.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","328154508.00","0.00","2.00","0.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","328155450.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","466284.00","854.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","26.00","23.00","23.00","23.00","24.00","24.00","25.00","25.00","25.00","25.00","0.00","4.00","1.00","1.00","1.00","2.00","3.00","3.00","3.00","3.00","376972970.00","0.00","4.00","0.00","0.00","0.00","1.00","1.00","2.00","3.00","2.00","2.00","376973929.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","538356.00","986.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"6.00","0.00","0.00","25.02","22.45","21.98","22.46","22.87","23.33","24.04","24.50","24.09","24.32","0.00","3.04","0.46","0.48","0.89","1.35","2.06","2.51","2.10","2.33","352894472.17","0.00","2.94","0.00","0.00","0.00","0.99","1.00","2.00","2.06","2.00","2.00","352895408.25","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","511643.38","937.08","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","24.00","22.00","21.00","22.00","22.00","23.00","23.00","24.00","23.00","24.00","0.00","2.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","328488749.00","0.00","2.00","0.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","328489658.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","465192.00","852.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","26.00","23.00","23.00","23.00","23.00","24.00","25.00","25.00","25.00","25.00","0.00","4.00","1.00","1.00","1.00","2.00","3.00","3.00","3.00","3.00","377312856.00","0.00","4.00","0.00","0.00","0.00","1.00","1.00","2.00","3.00","2.00","2.00","377313810.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","544908.00","998.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"7.00","0.00","0.00","24.99","22.46","21.97","22.47","22.88","23.27","24.00","24.51","24.03","24.26","0.00","3.02","0.48","0.50","0.91","1.30","2.03","2.53","2.06","2.29","353231424.39","0.00","2.95","0.00","0.00","0.00","1.00","1.00","2.00","2.06","2.00","2.00","353232358.48","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","510557.23","935.09","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","24.00","22.00","21.00","22.00","22.00","23.00","23.00","24.00","23.00","24.00","0.00","2.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","328827219.00","0.00","2.00","0.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","328828116.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","461916.00","846.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","28.00","23.00","22.00","23.00","23.00","24.00","25.00","25.00","25.00","25.00","0.00","6.00","1.00","1.00","1.00","2.00","3.00","3.00","3.00","3.00","377647141.00","0.00","4.00","0.00","0.00","0.00","1.00","1.00","2.00","3.00","2.00","2.00","377648084.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","539994.00","989.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"8.00","0.00","0.00","25.02","22.39","21.99","22.40","22.88","23.26","24.03","24.45","24.08","24.25","0.00","3.03","0.40","0.42","0.89","1.27","2.04","2.46","2.09","2.26","353568179.91","0.00","2.95","0.00","0.00","0.00","0.99","1.00","2.00","2.05","2.00","2.00","353569114.89","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","511048.42","935.99","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","24.00","22.00","21.00","22.00","22.00","23.00","23.00","24.00","23.00","24.00","0.00","2.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","329161072.00","0.00","2.00","0.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","329161955.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","470652.00","862.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","28.00","23.00","23.00","23.00","23.00","24.00","25.00","25.00","25.00","25.00","0.00","6.00","1.00","1.00","1.00","2.00","3.00","3.00","3.00","3.00","377983175.00","0.00","5.00","0.00","0.00","0.00","1.00","1.00","2.00","3.00","2.00","3.00","377984128.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","539994.00","989.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"9.00","0.00","0.00","25.04","22.42","22.00","22.43","22.92","23.29","24.04","24.48","24.09","24.29","0.00","3.03","0.41","0.43","0.91","1.28","2.04","2.47","2.09","2.28","353905272.06","0.00","2.96","0.00","0.00","0.00","1.00","1.00","2.00","2.05","2.00","2.00","353906207.76","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","511438.42","936.70","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","24.00","22.00","21.00","22.00","22.00","23.00","23.00","24.00","23.00","24.00","0.00","2.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","329498153.00","0.00","2.00","0.00","0.00","0.00","0.00","1.00","2.00","2.00","2.00","2.00","329499080.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","465192.00","852.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","0.00","26.00","23.00","23.00","23.00","24.00","24.00","25.00","25.00","25.00","25.00","0.00","4.00","1.00","1.00","1.00","2.00","3.00","3.00","3.00","3.00","378321695.00","0.00","4.00","0.00","0.00","0.00","1.00","1.00","2.00","3.00","2.00","2.00","378322624.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","539994.00","989.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
